Unnamed: 0,company,name,color,type,ratings,people_review,offer_price,real_price,offer,battery_hours,fast_charging,ENC,ANC,calculated_discount,amount_saved,value_score,feature__score,feature_count
27,PTron,"Bassbuds Joy TWS with 13mm Drivers, Stereo Calls,...",Black, True Wireless,3.7,6379,799,2599,69% off,,False,False,False,69.25740669488265,1800,256.2524047710658,,0
28,Fire-Boltt,Fire Pods Ninja G201 Earbuds TWS IWP HD Call...,Black, True Wireless,4.1,15839,799,3999,80% off,,False,False,False,80.02000500125031,3200,328.08202050512625,,0
29,boAt,"Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",Pebble Black, True Wireless,4.1,327645,1099,2490,55% off,,False,False,False,55.863453815261046,1391,229.04016064257027,,0
30,OPPO,Enco Buds 2 with 28 hours Battery life & Deep Nois...,Midnight, True Wireless,4.2,81506,1799,3999,55% off,,False,True,False,55.01375343835959,2200,231.0577644411103,,1
31,Boult,"Audio Maverick with Quad Mic ENC, 45ms Low Latenc...",Black, True Wireless,4.0,7225,1299,4499,71% off,,False,True,False,71.12691709268726,3200,284.50766837074906,,1
32,Chitransh,i12 Bluetooth Headset,White, True Wireless,3.9,193,439,999,56% off,,False,False,False,56.05605605605606,560,218.61861861861863,,0
33,Seashot,M19 Earbuds/TWS/buds 5.1 Earbuds with 280H Play...,Black, True Wireless,3.6,5154,639,2999,78% off,280,False,False,False,78.69289763254417,2360,283.29443147715904,,0
34,divinestar,MUisc dj Advance Design New Arrival TG-162 P...,Blue, 4.1 Channel,3.9,121,1199,4999,76% off,,False,False,True,76.01520304060813,3800,296.45929185837167,,1
35,Boult,"Audio X50 with 40Hr Battery, Quad Mic ENC, 45ms U...",White, True Wireless,4.0,28901,445,2999,85% off,40,False,True,False,85.16172057352452,2554,340.6468822940981,,1
36,TECHFIRE,Fire 500v2 Neckband hi-bass Wireless Bluetooth...,Green, In the Ear,3.9,188519,999,1990,49% off,,False,False,False,49.798994974874375,991,194.21608040201005,,0
37,boAt,Rockerz 235 Pro with upto 20 Hours Playback & ASAP...,Furious Blue, In the Ear,4.2,124994,299,1999,85% off,20,False,False,False,85.04252126063031,1700,357.17858929464734,,0
38,U&i,Trendy 24Hrs Battery Backup Bluetooth Neckband with...,Yellow, In the Ear,4.2,20,699,3499,80% off,24,False,False,False,80.02286367533581,2800,336.09602743641045,,0
39,Aroma,NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,Dark Blue, True Wireless,3.6,6182,546,1999,72% off,24,False,False,False,72.68634317158579,1453,261.6708354177089,,0
40,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,Black, True Wireless,3.7,8896,546,1999,72% off,24,False,False,False,72.68634317158579,1453,268.93946973486743,,0
41,Aroma,NB119B Badshah - 40 Hours Playtime Bluetooth Neck...,Black, In the Ear,4.0,240115,381,1499,74% off,40,False,False,False,74.58305537024683,1118,298.3322214809873,,0
42,Aroma,NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,Blue, In the Ear,4.0,162560,499,2499,80% off,48,False,False,False,80.03201280512204,2000,320.12805122048815,,0
43,TECHFIRE,Fire 500v2 Neckband hi-bass Wireless Bluetooth...,Blue, In the Ear,3.9,188519,445,3850,88% off,,False,False,False,88.44155844155844,3405,344.9220779220779,,0
44,Aroma,NB119Pro Belief 48 Hours Playing Time Fast Chargi...,Blue, In the Ear,4.0,65327,395,1999,80% off,48,True,False,False,80.24012006003002,1604,320.9604802401201,,1
45,Aroma,NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,Black, In the Ear,4.0,162560,499,2499,80% off,48,False,False,False,80.03201280512204,2000,320.12805122048815,,0
46,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",White, In the Ear,4.2,14276,1299,4999,74% off,60,False,True,False,74.01480296059212,3700,310.8621724344869,,1
47,OnePlus,"Bullets Wireless Z2 with Fast Charge, 30 Hrs Ba...",Magico Black, In the Ear,4.2,506991,1799,2299,21% off,30,True,False,False,21.748586341887776,500,91.34406263592867,,1
48,boAt,Rockerz 255 Pro+ /258 Pro+ with ASAP Charge and up...,Navy Blue, In the Ear,4.2,624229,1199,3990,69% off,,False,False,False,69.9498746867168,2791,293.7894736842106,,0
49,MASOORI,M19 / M10 / T2 TWS Bluetooth 5.0 Wireless Touch...,Black, True Wireless,3.6,547,499,1299,61% off,,False,False,False,61.585835257890686,800,221.70900692840647,,0
50,Boult,"Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",Black, True Wireless,4.1,111172,999,5499,81% off,40,True,False,False,81.83306055646482,4500,335.5155482815057,,1
51,Dozokil,High M10 Pro TWS Bluetooth Earbuds Wireless Ear...,Black, True Wireless,3.7,365,488,2499,80% off,,False,False,False,80.47218887555022,2011,297.7470988395358,,0
52,boAt,Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,Active Black Matte Indi, True Wireless,4.0,1345614,899,2990,69% off,60,False,False,False,69.93311036789298,2091,279.7324414715719,,0
53,boAt,"Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,...",Active Black  Dark Grey, In the Ear,3.9,112074,1299,2990,56% off,45,False,False,False,56.5551839464883,1691,220.56521739130437,,0
54,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",Blue, In the Ear,4.2,14276,1299,4999,74% off,60,False,True,False,74.01480296059212,3700,310.8621724344869,,1
55,Noise,"Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...",Jet Black, True Wireless,4.1,252983,1299,2999,56% off,50,False,False,False,56.68556185395131,1700,232.41080360120037,,0
56,Noise,"Buds VS404 with 50 Hours Playtime, ENC with Quad ...",Jet Black, True Wireless,4.1,3969,1499,3499,57% off,50,False,True,False,57.15918833952558,2000,234.35267219205485,,1
57,Portronics,SoundDrum 1 10 W Bluetooth Speaker,Black, Mono Channel,4.3,41689,1099,2499,56% off,,False,False,False,56.022408963585434,1400,240.89635854341736,,0
58,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Red, True Wireless,3.8,47151,1099,7999,86% off,30,False,False,False,86.26078259782473,6900,327.79097387173397,,0
59,Aroma,NB119Pro Belief 48 Hours Playing Time Fast Chargi...,Black  Silver, In the Ear,4.0,65327,395,1999,80% off,48,True,False,False,80.24012006003002,1604,320.9604802401201,,1
60,Aroma,NB119D Dream 60 Hours Playing Time Fast Charging ...,Black  Silver, In the Ear,4.1,52942,431,2499,82% off,60,True,False,False,82.75310124049619,2068,339.2877150860344,,1
61,Lichen,B11 Neckband Bluetooth Headset Earphone Sports R...,Blue, In the Ear,3.8,309,299,1599,81% off,,False,False,False,81.30081300813008,1300,308.9430894308943,,0
62,boAt,"Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",Pebble Black, True Wireless,4.1,327645,1099,2490,55% off,,False,False,False,55.863453815261046,1391,229.04016064257027,,0
63,ORAIMO,Shark 3 Deep Bass Neckband Bluetooth Headset,Black, In the Ear,4.1,17364,499,2499,80% off,,False,False,False,80.03201280512204,2000,328.13125250100035,,0
64,Aroma,NB119B Badshah 60 Hours Playing Time Fast Chargin...,Green, In the Ear,4.0,240115,419,2499,83% off,60,True,False,False,83.23329331732693,2080,332.9331732693077,,1
65,realme,Buds Wireless 2 Neo with Type-C Fast Charge & Ba...,Blue, In the Ear,4.2,286234,1299,2499,48% off,,True,False,False,48.019207683073226,1200,201.68067226890756,,1
66,TECHFIRE,Fire 500v2 Neckband hi-bass Wireless headphone...,Red, In the Ear,3.9,188519,449,3850,88% off,,False,False,False,88.33766233766234,3401,344.5168831168831,,0
67,realme,Buds Wireless 2 Neo with Type-C Fast Charge & Ba...,Black, In the Ear,4.2,286234,1299,2499,48% off,,True,False,False,48.019207683073226,1200,201.68067226890756,,1
68,Fire-Boltt,Fire Pods Ninja G201 Earbuds TWS IWP HD Call...,Black, True Wireless,4.1,15839,799,3999,80% off,,False,False,False,80.02000500125031,3200,328.08202050512625,,0
69,OPPO,Enco Buds 2 with 28 hours Battery life & Deep Nois...,Midnight, True Wireless,4.2,81506,1799,3999,55% off,,False,True,False,55.01375343835959,2200,231.0577644411103,,1
70,PTron,"Bassbuds Joy TWS with 13mm Drivers, Stereo Calls,...",Black, True Wireless,3.7,6379,799,2599,69% off,,False,False,False,69.25740669488265,1800,256.2524047710658,,0
71,Chitransh,i12 Bluetooth Headset,White, True Wireless,3.9,193,439,999,56% off,,False,False,False,56.05605605605606,560,218.61861861861863,,0
72,Seashot,M19 Earbuds/TWS/buds 5.1 Earbuds with 280H Play...,Black, True Wireless,3.6,5154,639,2999,78% off,280,False,False,False,78.69289763254417,2360,283.29443147715904,,0
73,divinestar,MUisc dj Advance Design New Arrival TG-162 P...,Blue, 4.1 Channel,3.9,121,546,1999,72% off,,False,False,True,72.68634317158579,1453,283.4767383691846,,1
74,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,White, True Wireless,3.7,8896,445,2999,85% off,24,False,False,False,85.16172057352452,2554,315.0983661220407,,0
75,TECHFIRE,Fire 500v2 Neckband hi-bass Wireless Bluetooth...,Green, In the Ear,3.9,188519,999,1990,49% off,,False,False,False,49.798994974874375,991,194.21608040201005,,0
76,boAt,Rockerz 235 Pro with upto 20 Hours Playback & ASAP...,Furious Blue, In the Ear,4.2,124994,299,1999,85% off,20,False,False,False,85.04252126063031,1700,357.17858929464734,,0
77,U&i,Trendy 24Hrs Battery Backup Bluetooth Neckband with...,Yellow, In the Ear,4.2,20,445,3850,88% off,24,False,False,False,88.44155844155844,3405,371.4545454545455,,0
78,Aloof,F9 Bluetooth Headset,Black, True Wireless,3.6,211,529,1999,73% off,,False,False,False,73.5367683841921,1470,264.7323661830916,,0
79,divinestar,MUSIC DJ Advance Design TG-162 Party Light W...,Black, 4.1 Channel,3.6,22,1799,2299,21% off,,False,False,True,21.748586341887776,500,78.294910830796,,1
80,OnePlus,Bullets Wireless Z2 Bluetooth Headset,Acoustic Red, In the Ear,4.2,506991,1299,4999,74% off,,False,False,False,74.01480296059212,3700,310.8621724344869,,0
81,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",White, In the Ear,4.2,14276,431,2499,82% off,60,False,True,False,82.75310124049619,2068,347.56302521008405,,1
82,Aroma,NB119D Dream 60 Hours Playing Time Fast Charging ...,Green, In the Ear,4.1,52942,285,999,71% off,60,True,False,False,71.47147147147147,714,293.033033033033,,1
83,KRAZZY,INDIA R3 Bluetooth Headset,Black  Yellow, In the Ear,3.4,1263,419,2499,83% off,,False,False,False,83.23329331732693,2080,282.99319727891157,,0
84,Aroma,NB119B Badshah 60 Hours Playing Time Fast Chargin...,Black  Silver, In the Ear,4.0,240115,799,4499,82% off,60,True,False,False,82.24049788841965,3700,328.9619915536786,,1
85,Boult,"Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",Blue, In the Ear,4.0,49704,419,2499,83% off,,False,True,False,83.23329331732693,2080,332.9331732693077,,1
86,Aroma,NB119B Badshah 60 Hours Playing Time Fast Chargin...,Red, In the Ear,4.0,240115,449,3850,88% off,60,True,False,False,88.33766233766234,3401,353.35064935064935,,1
87,TECHFIRE,Fire 500v2 Neckband hi-bass Wireless headphone...,Red, In the Ear,3.9,188519,485,1999,75% off,,False,False,False,75.73786893446723,1514,295.3776888444222,,0
88,TECHFIRE,Platinum Series Neckband - Low Price Bluetooth...,Blue, In the Ear,3.9,28990,999,5499,81% off,,False,False,False,81.83306055646482,4500,319.1489361702128,,0
89,Boult,"Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",Black, True Wireless,4.1,111172,1399,3999,65% off,40,True,False,False,65.01625406351587,2600,266.56664166041503,,1
90,Mivi,"DuoPods K5 TWS Earbuds Metallic Finish, HD calling...",Raven Black, True Wireless,4.2,308,529,4999,89% off,,False,False,False,89.41788357671534,4470,375.55511102220447,,0
91,Earboss,"AIRYPOD TWS EARBUDS, Bass+ 20 H Playtime & Fast...",Black, True Wireless,3.4,14,799,2599,69% off,20,True,False,False,69.25740669488265,1800,235.47518276260098,,1
92,PTron,"Bassbuds Joy TWS with 13mm Drivers, Stereo Calls,...",Blue, True Wireless,3.7,6379,546,1999,72% off,,False,False,False,72.68634317158579,1453,268.93946973486743,,0
93,Aroma,NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,Dark Blue, True Wireless,3.6,6182,490,5999,91% off,24,False,False,False,91.83197199533255,5509,330.5950991831972,,0
94,GREE,MATT Tws Wireless Bluetooth Headset With Power Ban...,Black, True Wireless,3.9,814,799,2599,69% off,,False,False,False,69.25740669488265,1800,270.1038861100423,,0
95,PTron,"Bassbuds Joy TWS with 13mm Drivers, Stereo Calls,...",Black, True Wireless,3.7,6379,1099,7999,86% off,,False,False,False,86.26078259782473,6900,319.1648956119515,,0
96,divinestar,Advance Design TG-162 Party Light With High ...,Black, 4.1 Channel,3.9,121,1199,3990,69% off,,False,False,True,69.9498746867168,2791,272.8045112781955,,1
97,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Red, True Wireless,3.8,47151,499,3499,85% off,30,False,False,False,85.73878250928837,3000,325.80737353529577,,0
98,boAt,Rockerz 255 Pro+ /258 Pro+ with ASAP Charge and up...,Active Black, In the Ear,4.2,624229,1799,2299,21% off,,False,False,False,21.748586341887776,500,91.34406263592867,,0
99,U&i,ProPlus 50 Hrs Battery Backup Bluetooth Neckband wi...,Blue, In the Ear,3.5,26,1299,4999,74% off,50,False,False,False,74.01480296059212,3700,259.05181036207244,,0
100,OnePlus,Bullets Wireless Z2 Bluetooth Headset,Beam Blue, In the Ear,4.2,506991,1599,2490,35% off,,False,False,False,35.78313253012048,891,150.28915662650604,,0
101,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",Blue, In the Ear,4.2,14276,299,1999,85% off,60,False,True,False,85.04252126063031,1700,357.17858929464734,,1
102,boAt,Rockerz 333 Upto 30 Hours Battery Bluetooth Headse...,Cherry Black, In the Ear,4.1,226716,419,2499,83% off,30,False,False,False,83.23329331732693,2080,341.2565026010404,,0
103,U&i,Trendy 24Hrs Battery Backup Bluetooth Neckband with...,Red, In the Ear,4.2,20,546,1999,72% off,24,False,False,False,72.68634317158579,1453,305.28264132066033,,0
104,Aroma,NB119B Badshah 60 Hours Playing Time Fast Chargin...,Blue, In the Ear,4.0,240115,1099,2490,55% off,60,True,False,False,55.863453815261046,1391,223.45381526104418,,1
105,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,Black, True Wireless,3.7,8896,498,1898,73% off,24,False,False,False,73.76185458377239,1400,272.91886195995784,,0
106,boAt,"Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",Pearl White, True Wireless,4.1,327645,2999,3299,9% off,,False,False,False,9.093664746892998,300,37.28402546226129,,0
107,Fome,M10 TWS Bluetooth Earbuds Wireless Earbuds Bluetoo...,Black, In the Ear,3.4,130,1099,7999,86% off,,False,False,False,86.26078259782473,6900,293.28666083260407,,0
108,OnePlus,Nord Buds 2 True Wireless Earbuds with 25dB Act...,Thunder Gray, True Wireless,4.3,2432,559,1999,72% off,,False,False,False,72.0360180090045,1440,309.7548774387193,,0
109,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Grey, True Wireless,3.8,47151,494,1799,72% off,30,False,False,False,72.54030016675931,1305,275.6531406336854,,0
110,Aroma,NB140 Dhamaal 24 Hours* Playtime | Deep Bass | Ma...,Black, True Wireless,3.6,871,899,5999,85% off,24,False,False,False,85.01416902817137,5100,306.0510085014169,,0
111,Fushion,"Earbud White, With (Wireless Charging Case) Blu...",White, True Wireless,3.5,137,1099,2490,55% off,,False,False,False,55.863453815261046,1391,195.52208835341366,,0
112,Boult,"Audio Gearpods with 32H Playtime, Fast Charging, ...",Black, True Wireless,3.7,147072,599,6999,91% off,32,True,False,False,91.44163451921703,6400,338.33404772110305,,1
113,boAt,"Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",Pebble Black, True Wireless,4.1,327645,499,2850,82% off,,False,False,False,82.49122807017544,2351,338.21403508771925,,0
114,SFZ,Mini Bluetooth Speaker Wireless Handsfree Car Bicyc...,Multicolor, Mono Channel,3.9,28990,899,2490,63% off,,False,False,False,63.89558232931727,1591,249.19277108433735,,0
115,TECHFIRE,Platinum Series Neckband - Low Price Bluetooth...,Black, In the Ear,4.2,124994,649,2999,78% off,,False,False,False,78.35945315105035,2350,329.1097032344115,,0
116,myxes,New Edition TWS M19 Gaming Earbuds Bluetooth 5.0 ...,Black, In the Ear,4.2,56,535,1999,73% off,,False,False,False,73.23661830915458,1464,307.5937968984492,,0
117,truke,"BTG Alpha Earbuds with Game Mode, 38H Playtime, 7...",Black, True Wireless,3.9,16564,699,2499,72% off,38,False,False,False,72.02881152460985,1800,280.9123649459784,,0
118,GAGANDEEP,TWS i12 Bluetooth Wireless Earphone Touch Sen...,Multicolor, True Wireless,3.4,1321,499,2999,83% off,,False,False,False,83.36112037345782,2500,283.4278092697566,,0
119,Aroma,NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,Dark Blue, True Wireless,3.6,6182,546,1999,72% off,24,False,False,False,72.68634317158579,1453,261.6708354177089,,0
120,Aroma,NB119 Advance 48 Hours Playing Time Fast Charging...,Black  Yellow, In the Ear,4.0,34492,399,2499,84% off,48,True,False,True,84.03361344537815,2100,336.1344537815126,,2
121,Aroma,NB120 Tehalka 40 Hours Playing Time Dual Pairing ...,Black  Silver, In the Ear,3.8,134952,346,1499,76% off,40,False,False,False,76.91794529686457,1153,292.28819212808537,,0
122,boAt,"Rockerz 255 Max with 60 Hours Playback, EQ Modes &...",Stunning Black, In the Ear,4.1,1997,1399,3990,64% off,60,False,False,False,64.93734335839599,2591,266.24310776942355,,0
123,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,Black, True Wireless,3.7,8896,546,1999,72% off,24,False,False,False,72.68634317158579,1453,268.93946973486743,,0
124,TECHFIRE,Fire 500v2 Neckband hi-bass Wireless Bluetooth...,Grey, In the Ear,3.9,188519,445,3850,88% off,,False,False,False,88.44155844155844,3405,344.9220779220779,,0
125,Boult,"Audio YCharge with Pro+ Calling Mic, Full Charge ...",Blue, In the Ear,4.0,20048,699,1999,65% off,,False,False,False,65.03251625812906,1300,260.13006503251626,,0
126,Ucool,80 Hours Playtime Wireless Neckband headphones Ea...,Teal Green, In the Ear,4.0,11962,599,2499,76% off,80,False,False,False,76.03041216486595,1900,304.1216486594638,,0
127,Mivi,"DuoPods K5 TWS Earbuds Metallic Finish, HD calling...",Cobalt Blue, True Wireless,4.2,308,1399,3999,65% off,,False,False,False,65.01625406351587,2600,273.0682670667667,,0
128,Nexbird,B11 Neckband Truly Wireless Bluetooth 5.0 Headp...,Blue, In the Ear,3.7,186,284,1899,85% off,0,False,False,False,85.04476040021063,1615,314.66561348077937,,0
129,JVMART,B235 BT SUPER SOUND NECKBAND Bluetooth Headset,Blue, True Wireless,3.9,147764,385,1999,80% off,,False,False,False,80.74037018509254,1614,314.8874437218609,,0
130,Boult,"Audio XPods with Mega 13mm Drivers, 20H Battery, ...",Blue, True Wireless,4.1,327645,899,4999,82% off,20,False,False,False,82.01640328065614,4100,336.26725345069013,,0
131,boAt,"Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",Pebble Black, True Wireless,3.6,6182,1099,2490,55% off,,False,False,False,55.863453815261046,1391,201.10843373493978,,0
132,Aroma,NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,Black, True Wireless,4.2,14276,546,1999,72% off,24,False,False,False,72.68634317158579,1453,305.28264132066033,,0
133,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",Blue, In the Ear,4.2,6,1299,4999,74% off,60,False,True,False,74.01480296059212,3700,310.8621724344869,,1
134,NS,"WORLD Maverix TWS Earbuds, 20H Playtime,IPX5,Bluetoo...",Black, True Wireless,3.9,188519,599,3800,84% off,20,False,False,False,84.23684210526315,3201,328.52368421052626,,0
135,TECHFIRE,Fire 500v2 Neckband hi-bass Wireless headphone...,Red, In the Ear,4.2,364,449,3850,88% off,,False,False,False,88.33766233766234,3401,371.01818181818186,,0
136,Portronics,Harmonics Z5 Wireless Stereo Neckband Blueto...,Black, In the Ear,4.0,11877,699,2499,72% off,,False,False,False,72.02881152460985,1800,288.1152460984394,,0
137,Aroma,NB119 Diamond - 50 Hours Playtime Bluetooth Neckb...,Black, In the Ear,3.5,26,421,2499,83% off,50,False,False,False,83.1532613045218,2078,291.0364145658263,,0
138,U&i,ProPlus 50 Hrs Battery Backup Bluetooth Neckband wi...,Black, In the Ear,3.7,8896,499,3499,85% off,50,False,False,False,85.73878250928837,3000,317.233495284367,,0
139,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,White, True Wireless,4.2,124994,546,1999,72% off,24,False,False,False,72.68634317158579,1453,305.28264132066033,,0
140,boAt,Rockerz 235 Pro with upto 20 Hours Playback & ASAP...,Active Black, In the Ear,4.1,8135,1099,2490,55% off,20,False,False,False,55.863453815261046,1391,229.04016064257027,,0
141,boAt,Rockerz 255 Arc with ENx Technology and upto 30 Ho...,Cosmos Black, In the Ear,4.0,49704,1299,2990,56% off,30,False,False,False,56.5551839464883,1691,226.2207357859532,,0
142,Boult,"Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",Red, In the Ear,3.7,6379,799,4499,82% off,,False,True,False,82.24049788841965,3700,304.2898421871527,,1
143,PTron,"Bassbuds Joy TWS with 13mm Drivers, Stereo Calls,...",Black, True Wireless,3.8,2303,799,2599,69% off,,False,False,False,69.25740669488265,1800,263.17814544055403,,0
144,FPX,Buzz 35 Hours Playtime with Deep bass Neckband Head...,Red, True Wireless,3.9,22,399,2499,84% off,35,False,False,False,84.03361344537815,2100,327.7310924369748,,0
145,GENTLEMOB,Latest Earbuds/Tws/Xpods M10 Buds True wirele...,Support Iphone/Android phones 10hrs playtime, True Wireless,3.5,57,498,1299,61% off,,False,False,False,61.662817551963045,801,215.81986143187066,,0
146,Fome,M10 Earbuds/TWS/buds 5.1 Earbuds with 280H Playtim...,Black, In the Ear,3.8,2551,489,2299,78% off,280,False,False,False,78.72988255763376,1810,299.1735537190083,,0
147,TECHFIRE,Fire-T10 -48 Hours Playing Time Fast Charging ...,OCEAN  Blue, In the Ear,4.6,9,399,3850,89% off,48,True,False,False,89.63636363636364,3451,412.3272727272727,,1
148,flying,india Premium TWS L21 True HIFI Bluetooth Earbud...,Black, True Wireless,4.0,1345614,424,2199,80% off,,False,False,False,80.71850841291496,1775,322.87403365165983,,0
